1.15956140e+00, 1.11796428e-16, 1.05002293e-16
1.19969710e+00, 2.32035737e-16, 7.21183769e-17
1.24122190e+00, 3.98145977e-16, 6.10090160e-17
1.28418400e+00, 4.13952209e-16, 5.26948249e-17
1.32863310e+00, 2.57915143e-16, 3.63268251e-17
1.37462080e+00, 1.03618640e-16, 4.78630049e-17
1.42220020e+00, 9.94562564e-17, 3.85460136e-17
1.47142640e+00, 1.91015438e-16, 4.39182779e-17
1.52235640e+00, 1.76636208e-16, 3.66001089e-17
1.57504960e+00, 2.83916771e-16, 3.12379626e-17
1.62956630e+00, 3.86414203e-16, 3.13824655e-17
1.68597010e+00, 3.62238497e-16, 3.63159233e-17
1.74432600e+00, 2.57392030e-16, 2.46558733e-17
1.80470210e+00, 1.78851930e-16, 2.15366056e-17
1.86716780e+00, 1.85691115e-16, 2.55055056e-17
1.93179570e+00, 2.04954018e-16, 3.16581047e-17
1.99866030e+00, 1.61644979e-16, 1.97351613e-17
2.06783960e+00, 2.57185176e-16, 2.34455847e-17
2.13941310e+00, 2.66061486e-16, 1.90260064e-17
2.21346410e+00, 2.28917259e-16, 1.94320197e-17
2.29007810e+00, 1.73065302e-16, 2.17418024e-17
2.36934400e+00, 1.57934667e-16, 2.94273754e-17
