1.477000000000000091e+00	9.894462542556159539e-17	4.397538907802737710e-17
1.491999999999999993e+00	2.073976243809701353e-16	3.232170769573561422e-17
1.508000000000000007e+00	1.542424381459800492e-16	2.636622874290256777e-17
1.522999999999999909e+00	2.067954023424583066e-16	2.584942529280728833e-17
1.538999999999999924e+00	2.354270753267545150e-16	2.404900231832438906e-17
1.554000000000000048e+00	2.557324824051850455e-16	2.358697653251706767e-17
1.570000000000000062e+00	2.809528086250963465e-16	2.554116442046330002e-17
1.586000000000000076e+00	3.396715687311261271e-16	2.383660131446499029e-17
1.602000000000000091e+00	3.212390798564840024e-16	2.336284217138064615e-17
1.618000000000000105e+00	3.790457767223188190e-16	2.404822148389333920e-17
1.635000000000000009e+00	3.745688483835068105e-16	2.355073597620850971e-17
1.651999999999999913e+00	3.767859821172077983e-16	2.306852951738006369e-17
1.667999999999999927e+00	3.372662997443771981e-16	2.047303416978647173e-17
1.685000000000000053e+00	3.822341300742279129e-16	2.111790773890761842e-17
1.701999999999999957e+00	2.959835839359514513e-16	1.862833745051442944e-17
1.719999999999999973e+00	2.756339527312060914e-16	1.722712204570038071e-17
1.737000000000000099e+00	2.265457467712282369e-16	2.185967732003078793e-17
1.754999999999999893e+00	1.917488144609216217e-16	1.946688471684482956e-17
1.772999999999999909e+00	1.211175152702583845e-16	2.479571178761194479e-17
1.790999999999999925e+00	1.214990503731512015e-16	1.018722806974883303e-16
